Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;0;0.553300023;0.463;0.385500014;0.335000008;0.296200007;0.261299998
A2;scrambled_miRNA;L-Lysine;1;2;0;0.547299981;0.452300012;0.371300012;0.316799998;0.27579999;0.239700004
A3;control;L-Lysine;1;2;0;0.513400018;0.432700008;0.358900011;0.311199993;0.273499995;0.239700004
A4;plant_miRNA;L-Lysine;2;2;0;0.516099989;0.432500005;0.362899989;0.314599991;0.277399987;0.244299993
A5;scrambled_miRNA;L-Lysine;2;2;0;0.515200019;0.432399988;0.363299996;0.316399992;0.279700011;0.246800005
A6;control;L-Lysine;2;2;0;0.54460001;0.458400011;0.38440001;0.334199995;0.296000004;0.260899991
A7;plant_miRNA;L-Lysine;3;2;0;0.578400016;0.480100006;0.397700012;0.34009999;0.296700001;0.2579
A8;scrambled_miRNA;L-Lysine;3;2;0;0.546400011;0.45570001;0.378500015;0.3222;0.279500008;0.242400005
B1;control;L-Lysine;3;2;0;0.636699975;0.506799996;0.395099998;0.324600011;0.273699999;0.231700003
B2;plant_miRNA;L-Lysine;4;2;0;0.505200028;0.418900013;0.34709999;0.297500014;0.258300006;0.224700004
B3;scrambled_miRNA;L-Lysine;4;2;0;0.506299973;0.421400011;0.350400001;0.30219999;0.264400005;0.231399998
B4;control;L-Lysine;4;2;0;0.510800004;0.418799996;0.342799991;0.291799992;0.251700014;0.218199998
B5;plant_miRNA;L-Lysine;5;2;0;0.512300014;0.423700005;0.34740001;0.294800013;0.253399998;0.2192
B6;scrambled_miRNA;L-Lysine;5;2;0;0.521700025;0.433899999;0.360199988;0.310799986;0.272000015;0.2377
B7;control;L-Lysine;5;2;0;0.533399999;0.442000002;0.365200013;0.313300014;0.272500008;0.237200007
C1;plant_miRNA;L-Lysine;1;2;20;0.291399986;0.234999999;0.189400002;0.160400003;0.137500003;0.118799999
C2;scrambled_miRNA;L-Lysine;1;2;20;0.238000005;0.1963;0.162799999;0.140799999;0.122400001;0.107500002
C3;control;L-Lysine;1;2;20;0.515999973;0.424699992;0.3477;0.29550001;0.254099995;0.219099998
C4;plant_miRNA;L-Lysine;2;2;20;0.285299987;0.235300004;0.194800004;0.166899994;0.143900007;0.125200003
C5;scrambled_miRNA;L-Lysine;2;2;20;0.291299999;0.240099996;0.198599994;0.170300007;0.146899998;0.127900004
C6;control;L-Lysine;2;2;20;0.558600008;0.456999987;0.371499985;0.314900011;0.271600008;0.234799996
C7;plant_miRNA;L-Lysine;3;2;20;0.327199996;0.269800007;0.223100007;0.190899998;0.164800003;0.143000007
C8;scrambled_miRNA;L-Lysine;3;2;20;0.342299998;0.281500012;0.231099993;0.196600005;0.169;0.145799994
D1;control;L-Lysine;3;2;20;0.530499995;0.445600003;0.372299999;0.324000001;0.2861;0.251199991
D2;plant_miRNA;L-Lysine;4;2;20;0.298000008;0.247400001;0.203999996;0.174600005;0.1505;0.130799994
D3;scrambled_miRNA;L-Lysine;4;2;20;0.35589999;0.295899987;0.245299995;0.209099993;0.180600002;0.156100005
D4;control;L-Lysine;4;2;20;0.538699985;0.453999996;0.380499989;0.331499994;0.292699993;0.257099986
D5;plant_miRNA;L-Lysine;5;2;20;0.264699996;0.219500005;0.181400001;0.154699996;0.133100003;0.115099996
D6;scrambled_miRNA;L-Lysine;5;2;20;0.306400001;0.252200007;0.207100004;0.175500005;0.151199996;0.129999995
D7;control;L-Lysine;5;2;20;0.527800024;0.437900007;0.359600008;0.305599988;0.264200002;0.228
E1;std;L-Lysine;N.A.;0;2;0.057100002;0.0546;0.0546;0.055;0.054299999;0.053599998
E2;std;L-Lysine;N.A.;62.5;2;0.063500002;0.059500001;0.067900002;0.059799999;0.063199997;0.062600002
E3;std;L-Lysine;N.A.;125;2;0.072499998;0.065300003;0.0614;0.059599999;0.0581;0.056400001
E4;std;L-Lysine;N.A.;250;2;0.089500003;0.077299997;0.069700003;0.065800004;0.062399998;0.059700001
E5;std;L-Lysine;N.A.;500;2;0.135299996;0.1096;0.093199998;0.083800003;0.076800004;0.071599998
E6;std;L-Lysine;N.A.;1000;2;0.209399998;0.164100006;0.132599995;0.114600003;0.101599999;0.090599999
E7;std;L-Lysine;N.A.;2000;2;0.379400015;0.297600001;0.234699994;0.194800004;0.165800005;0.141900003
E8;std;L-Lysine;N.A.;4000;2;0.628099978;0.510999978;0.408399999;0.338699996;0.2861;0.242300004
G1;plant_miRNA;L-Lysine;1;2;22;0.209900007;0.170300007;0.138600007;0.1193;0.1039;0.090899996
G2;scrambled_miRNA;L-Lysine;1;2;22;0.212300003;0.174700007;0.144299999;0.1241;0.108199999;0.0942
G3;control;L-Lysine;1;2;22;0.56190002;0.465700001;0.379599988;0.321500003;0.276300013;0.237499997
G4;plant_miRNA;L-Lysine;2;2;22;0.205699995;0.170000002;0.140499994;0.121799998;0.105899997;0.093000002
G5;scrambled_miRNA;L-Lysine;2;2;22;0.229200006;0.189099997;0.156100005;0.134800002;0.117200002;0.102399997
G6;control;L-Lysine;2;2;22;0.544399977;0.451900005;0.369399995;0.313600004;0.270399988;0.233199999
G7;plant_miRNA;L-Lysine;3;2;22;0.231700003;0.190400004;0.1567;0.134900004;0.116999999;0.101999998
G8;scrambled_miRNA;L-Lysine;3;2;22;0.239299998;0.197899997;0.163900003;0.141599998;0.1219;0.105999999
H1;control;L-Lysine;3;2;22;0.595399976;0.487100005;0.390100002;0.327899992;0.282000005;0.242300004
H2;plant_miRNA;L-Lysine;4;2;22;0.228400007;0.189099997;0.156100005;0.133599997;0.115900002;0.100400001
H3;scrambled_miRNA;L-Lysine;4;2;22;0.283699989;0.233700007;0.189999998;0.160799995;0.137899995;0.118500002
H4;control;L-Lysine;4;2;22;0.572799981;0.474700004;0.3847;0.325700015;0.279500008;0.240400001
H5;plant_miRNA;L-Lysine;5;2;22;0.223499998;0.185800001;0.153699994;0.132599995;0.114600003;0.100000001
H6;scrambled_miRNA;L-Lysine;5;2;22;0.254099995;0.211700007;0.174500003;0.149399996;0.1294;0.112000003
H7;control;L-Lysine;5;2;22;0.555199981;0.457800001;0.372200012;0.312400013;0.265899986;0.227300003
A10;scrambled_miRNA;L-Lysine;3;2;28;0.098300003;0.089400001;0.0823;0.077699997;0.0744;0.0704
B10;plant_miRNA;L-Lysine;3;2;28;0.054200001;0.052999999;0.052000001;0.052299999;0.052000001;0.051399998
C10;control;L-Lysine;2;2;28;0.537100017;0.43720001;0.34920001;0.290399998;0.246000007;0.207300007
D10;scrambled_miRNA;L-Lysine;2;2;28;0.046;0.045000002;0.044399999;0.044500001;0.044500001;0.0436
E10;plant_miRNA;L-Lysine;2;2;28;0.0605;0.057500001;0.057100002;0.0568;0.055599999;0.054499999
F10;control;L-Lysine;1;2;28;0.615400016;0.495799989;0.403200001;0.341699988;0.289099991;0.245700002
G10;scrambled_miRNA;L-Lysine;1;2;28;0.0504;0.047699999;0.0473;0.047899999;0.047400001;0.046599999
H10;plant_miRNA;L-Lysine;1;2;28;0.107299998;0.092799999;0.0814;0.074500002;0.0682;0.062899999
A11;control;L-Lysine;5;2;28;0.626399994;0.513800025;0.414700001;0.34709999;0.295700014;0.253699988
B11;scrambled_miRNA;L-Lysine;5;2;28;0.052999999;0.052200001;0.052200001;0.0528;0.052099999;0.051600002
C11;plant_miRNA;L-Lysine;5;2;28;0.050799999;0.048300002;0.047699999;0.048900001;0.047699999;0.046799999
D11;control;L-Lysine;4;2;28;0.617699981;0.506399989;0.405200005;0.335700005;0.282999992;0.239399999
E11;scrambled_miRNA;L-Lysine;4;2;28;0.063500002;0.061700001;0.060400002;0.059300002;0.059099998;0.058499999
F11;plant_miRNA;L-Lysine;4;2;28;0.081699997;0.074100003;0.068700001;0.065899998;0.062899999;0.060199998
G11;control;L-Lysine;3;2;28;0.618300021;0.5079;0.406500012;0.33860001;0.287999988;0.2447
