"Treatment","Time","Pair","Well_ID.x","N_souce","miRNA","Dose.uM.","OD_600","Well_ID.y","N_Source","Dose..uM.","OD520","Predicted_AA_520","Treatment.2"
"miARNs de plantes",0,1,"A2","Proline","5642b",2,0.148399994,"A1","L-Proline",2,2.271200061,12048.9215937088,"Plant miRNAs"
"miARNs de plantes",0,2,"B4","Proline","5642b",2,0.125599995,"A4","L-Proline",2,2.1329,11283.4317924293,"Plant miRNAs"
"miARNs de plantes",0,3,"A6","Proline","5642b",2,0.143999994,"A7","L-Proline",2,2.074199975,10958.5275939246,"Plant miRNAs"
"miARNs de plantes",0,4,"C1","Proline","5642b",2,0.108099997,"B2","L-Proline",2,1.761800051,9229.39635556224,"Plant miRNAs"
"miARNs de plantes",0,5,"C3","Proline","5642b",2,0.145600006,"B5","L-Proline",2,1.830549955,9609.92655902289,"Plant miRNAs"
"miARNs de plantes",12,1,"A2","Proline","5642b",2,0.235400006,"C1","L-Proline",2,1.836399972,9642.30635928062,"Plant miRNAs"
"miARNs de plantes",12,2,"B4","Proline","5642b",2,0.158199996,"C4","L-Proline",2,1.842900038,9678.28417588219,"Plant miRNAs"
"miARNs de plantes",12,3,"A6","Proline","5642b",2,0.195800006,"C7","L-Proline",2,1.828749955,9599.96357251124,"Plant miRNAs"
"miARNs de plantes",12,4,"C1","Proline","5642b",2,0.125499994,"D2","L-Proline",2,1.576649964,8204.59201144466,"Plant miRNAs"
"miARNs de plantes",12,5,"C3","Proline","5642b",2,0.240400001,"D5","L-Proline",2,1.767149985,9259.00820016236,"Plant miRNAs"
"miARNs de plantes",18,1,"A2","Proline","5642b",2,0.300999999,"G1","L-Proline",2,0.801699996,3915.24974567419,"Plant miRNAs"
"miARNs de plantes",18,2,"B4","Proline","5642b",2,0.243200004,"G4","L-Proline",2,0.67840001,3232.78524711613,"Plant miRNAs"
"miARNs de plantes",18,3,"A6","Proline","5642b",2,0.222200006,"G7","L-Proline",2,0.795549989,3881.20950301444,"Plant miRNAs"
"miARNs de plantes",18,4,"C1","Proline","5642b",2,0.191499993,"H2","L-Proline",2,1.115199983,5650.46982449816,"Plant miRNAs"
"miARNs de plantes",18,5,"C3","Proline","5642b",2,0.263500005,"H5","L-Proline",2,1.171050012,5959.59931649939,"Plant miRNAs"
"miARNs de plantes",24,1,"A2","Proline","5642b",2,0.295100003,"H10","L-Proline",2,0.0469,-262.562576070666,"Plant miRNAs"
"miARNs de plantes",24,2,"B4","Proline","5642b",2,0.217700005,"E10","L-Proline",2,0.056850001,-207.489395096281,"Plant miRNAs"
"miARNs de plantes",24,3,"A6","Proline","5642b",2,0.240400001,"B10","L-Proline",2,0.051200001,-238.762102757845,"Plant miRNAs"
"miARNs de plantes",24,4,"C1","Proline","5642b",2,0.270599991,"F11","L-Proline",2,0.05205,-234.057364662337,"Plant miRNAs"
"miARNs de plantes",24,5,"C3","Proline","5642b",2,0.283800006,"C11","L-Proline",2,0.048899999,-251.492596592715,"Plant miRNAs"
"miARNs aléatoires",0,1,"B2","Proline","5642b",2,0.127800003,"A2","L-Proline",2,2.093600035,11065.9067806497,"Scramble miRNAs"
"miARNs aléatoires",0,2,"B3","Proline","5642b",2,0.1241,"A5","L-Proline",2,2.149500012,11375.3127344566,"Scramble miRNAs"
"miARNs aléatoires",0,3,"A5","Proline","5642b",2,0.142199993,"A8","L-Proline",2,2.15624994,11412.6735353558,"Scramble miRNAs"
"miARNs aléatoires",0,4,"D1","Proline","5642b",2,0.119499996,"B3","L-Proline",2,1.722750008,9013.25466017984,"Scramble miRNAs"
"miARNs aléatoires",0,5,"C4","Proline","5642b",2,0.144999996,"B6","L-Proline",2,1.852900028,9733.63404559698,"Scramble miRNAs"
"miARNs aléatoires",12,1,"B2","Proline","5642b",2,0.168699995,"C2","L-Proline",2,1.932099998,10172.0052860598,"Scramble miRNAs"
"miARNs aléatoires",12,2,"B3","Proline","5642b",2,0.181500003,"C5","L-Proline",2,1.792750001,9400.70409688792,"Scramble miRNAs"
"miARNs aléatoires",12,3,"A5","Proline","5642b",2,0.219099998,"C8","L-Proline",2,1.811450005,9504.20847889891,"Scramble miRNAs"
"miARNs aléatoires",12,4,"D1","Proline","5642b",2,0.170399994,"D3","L-Proline",2,1.566299975,8147.3048998876,"Scramble miRNAs"
"miARNs aléatoires",12,5,"C4","Proline","5642b",2,0.204099998,"D6","L-Proline",2,1.684149981,8799.60379998524,"Scramble miRNAs"
"miARNs aléatoires",18,1,"B2","Proline","5642b",2,0.284399986,"G2","L-Proline",2,0.577800006,2675.96497882511,"Scramble miRNAs"
"miARNs aléatoires",18,2,"B3","Proline","5642b",2,0.261999995,"G5","L-Proline",2,0.662349999,3143.94855650234,"Scramble miRNAs"
"miARNs aléatoires",18,3,"A5","Proline","5642b",2,0.241999999,"G8","L-Proline",2,0.804350019,3929.91760312117,"Scramble miRNAs"
"miARNs aléatoires",18,4,"D1","Proline","5642b",2,0.223199993,"H3","L-Proline",2,1.017850012,5111.63846450793,"Scramble miRNAs"
"miARNs aléatoires",18,5,"C4","Proline","5642b",2,0.249899998,"H6","L-Proline",2,1.194000006,6086.62736131296,"Scramble miRNAs"
"miARNs aléatoires",24,1,"B2","Proline","5642b",2,0.29370001,"G10","L-Proline",2,0.049899999,-245.957604086244,"Scramble miRNAs"
"miARNs aléatoires",24,2,"B3","Proline","5642b",2,0.34889999,"D10","L-Proline",2,0.045299999,-271.418569616013,"Scramble miRNAs"
"miARNs aléatoires",24,3,"A5","Proline","5642b",2,0.244499996,"A10","L-Proline",2,0.062549999,-175.939948879377,"Scramble miRNAs"
"miARNs aléatoires",24,4,"D1","Proline","5642b",2,0.268000007,"E11","L-Proline",2,0.058900001,-196.142660458014,"Scramble miRNAs"
"miARNs aléatoires",24,5,"C4","Proline","5642b",2,0.260699987,"B11","L-Proline",2,0.053550001,-225.754870367637,"Scramble miRNAs"
